ULB Name,City Finance Code,Census Code, Swatcha Bharat Code, ULB Type, State Name, State Code, Nature of ULB, Area, Ward, Population, AMRUT, Latitude,Longitude,isMillionPlus, UA, Created On, Modified On 
Akluj Town Panchayat,MH431,NA,910277,Town Panchayat,Maharashtra,MH,,33,17,49000,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Dehu Town Panchayat,MH432,NA,900753,Town Panchayat,Maharashtra,MH,,17.13,17,18269,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Pali Town Panchayat,MH433,NA,910278,Town Panchayat,Maharashtra,MH,,8.94,17,10549,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Tirthpuri Town Panchayat,MH434,NA,910279,Town Panchayat,Maharashtra,MH,,25.92,17,10148,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Natepute Town Panchayat,MH435,NA,910280,Town Panchayat,Maharashtra,MH,,2.87,17,17930,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Mahalungshirpur Town Panchayat,MH436,NA,900750,Town Panchayat,Maharashtra,MH,,34.35,17,20833,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Vairag Town Panchayat,MH437,NA,910281,Town Panchayat,Maharashtra,MH,,0,0,0,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Nashirabad Town Panchayat,MH438,NA,900587,Town Panchayat,Maharashtra,MH,,0,0,0,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Ghugus Town Panchayat,MH439,NA,900751,Town Panchayat,Maharashtra,MH,,0,0,0,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Malegaon Budruk Town Panchayat,MH440,NA,900752,Town Panchayat,Maharashtra,MH,,0,0,0,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Chaukhutia Town Panchayat,UK103,NA,910284,Town Panchayat,Uttarakhand,UK,,0,0,0,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Devigarh Town Panchayat,PB180,NA,910287,Town Panchayat,Punjab,PB,,18,0,0,No,0,0,No,NA,Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time),Sat Feb 12 2022 05:38:32 GMT+0000 (Coordinated Universal Time)
Angar Town Panchayat,MH441,NA,910288,Town Panchayat,Maharashtra,MH,,52.47,17,15650,No,0,0,No,NA,Tue Feb 15 2022 11:23:18 GMT+0000 (Coordinated Universal Time),Tue Feb 15 2022 11:23:18 GMT+0000 (Coordinated Universal Time)
Barodiyakala Municipal Council,MP414,NA,910290,Municipality,Madhya Pradesh,MP,,10,15,undefined,No,0,0,No,NA,Tue Mar 08 2022 06:16:04 GMT+0000 (Coordinated Universal Time),Tue Mar 08 2022 06:16:04 GMT+0000 (Coordinated Universal Time)
Baba Bakala Sahib Town Panchayat,PB182,NA,910292,Town Panchayat,Punjab,PB,,0,0,undefined,No,0,0,No,NA,Tue Mar 15 2022 05:40:00 GMT+0000 (Coordinated Universal Time),Tue Mar 15 2022 05:40:00 GMT+0000 (Coordinated Universal Time)
Gharuan Town Panchayat,PB183,NA,910293,Town Panchayat,Punjab,PB,,0,0,undefined,No,0,0,No,NA,Tue Mar 15 2022 05:40:00 GMT+0000 (Coordinated Universal Time),Tue Mar 15 2022 05:40:00 GMT+0000 (Coordinated Universal Time)
Hunasamaranahalli Town Municipal Council,KA310,910295,NA,Municipality,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Chikkabanavr Town Municipal Council,KA311,910296,NA,Municipality,Karnataka,KA,,9.08,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Kagawada Town Panchayat,KA312,910297,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Yaragatti Town Panchayat,KA313,910298,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Machche Town Panchayat,KA314,910299,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Peeranawadi Town Panchayat,KA315,910300,NA,Town Panchayat,Karnataka,KA,,9.59,18,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Ankalagi-akkatangerahala Town Panchayat,KA316,910301,NA,Town Panchayat,Karnataka,KA,,43.76,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Bajape Town Panchayat,KA317,910302,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Kinnigoli Town Panchayat,KA318,910303,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Vemagal-kurugal Town Panchayat,KA319,910304,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Harohalli Town Panchayat,KA320,910305,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Anavatti Town Panchayat,KA321,910306,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Holehonnur Town Panchayat,KA322,910307,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Manki Town Panchayat,KA323,910308,NA,Town Panchayat,Karnataka,KA,,25,20,19664,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Babaleshwar Town Panchayat,KA324,910309,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Hootagalli Town Municipal Council,KA325,910310,NA,Municipality,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Bashettihalli Town Panchayat,KA326,910311,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Rammanahalli Town Panchayat,KA327,910312,NA,Town Panchayat,Karnataka,KA,,20.42,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Kadakola Town Panchayat,KA328,910313,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Sriramapura Town Panchayat,KA329,910314,NA,Town Panchayat,Karnataka,KA,,20.99,18,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)
Bogadi Town Panchayat,KA330,910315,NA,Town Panchayat,Karnataka,KA,,0,0,undefined,No,0,0,No,NA,Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time),Thu May 05 2022 14:25:53 GMT+0000 (Coordinated Universal Time)